"myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
0.862,1.06854148930743,0.724,1.56033149711341,1,0.959,"1","HNRNPA1P10"
0.86,0.724776292318356,0.72,1.10559567797354,1,0.825,"1","RP11-592N21.1"
0.859,1.35325153080269,0.718,1.97704950831662,0.985,0.848,"1","RP11-750B16.1"
0.859,0.855389768722816,0.718,1.31756004358777,1,0.92,"1","EEF1A1P11"
0.857,1.19791256863205,0.714,1.72847418569682,1,0.764,"1","MTATP8P1"
0.856,0.922572782755199,0.712,1.55251603426521,1,0.73,"1","RPL13AP7"
0.856,1.00302278638344,0.712,1.52344726829008,1,0.807,"1","RP11-492M23.2"
0.854,1.02858807124653,0.708,1.48929270028093,1,0.923,"1","RPS23P8"
0.853,0.759201892823098,0.706,1.65069685316902,1,0.677,"1","RPL4P5"
0.852,1.63556545898627,0.704,2.85387689359047,0.912,0.343,"1","RPL5P1"
0.851,1.06394350381594,0.702,1.54627297370679,1,0.92,"1","RPS26P8"
0.85,0.574410024286476,0.7,0.934893108352885,1,0.568,"1","ALYREF"
0.85,0.364489030820838,0.7,1.97687196961644,0.926,0.391,"1","EEF1A1P14"
0.849,1.16464860367286,0.698,1.71501123955221,1,0.989,"1","EEF1A1P19"
0.848,0.84169482244846,0.696,1.32769235479126,1,0.923,"1","RPL4P4"
0.847,0.932614064635618,0.694,1.35398350787716,1,0.959,"1","HNRNPA1P7"
0.846,0.950639742559534,0.692,1.77167986585468,0.971,0.614,"1","RPSAP15"
0.845,1.04049991065816,0.69,1.52137960038028,1,0.795,"1","AC012005.3"
0.845,1.37735427709236,0.69,2.2162663803425,0.897,0.307,"1","RP11-112J1.1"
0.845,0.119114019441818,0.69,0.192495834786985,1,0.711,"1","RPL13AP20"
0.844,1.03878255849109,0.688,1.5188834606817,1,0.795,"1","AC006386.1"
0.844,0.877083112823025,0.688,1.33877467909288,1,0.795,"1","AC092155.1"
0.844,0.262970570099546,0.688,0.38707515848008,0.985,0.584,"1","AC011933.2"
0.84,0.762783371181136,0.68,1.1468472240293,1,0.861,"1","RP11-464D20.2"
0.839,1.02256161267564,0.678,1.53848034630396,1,0.882,"1","PPIAP22"
0.838,1.05108453713466,0.676,1.52428504141155,1,0.927,"1","RPS26P6"
0.838,0.948815191271762,0.676,1.36932145875896,1,0.98,"1","CTB-63M22.1"
0.837,0.871605961954159,0.674,1.43034185821286,1,0.77,"1","RPL3P2"
0.836,1.04599398308484,0.672,1.52764772113052,0.971,0.43,"1","PRTG"
0.836,0.861941038608432,0.672,1.3952258550042,1,0.605,"1","RPS26P47"
0.835,1.01010346788327,0.67,1.52217055281246,1,0.68,"1","RPS26P15"
0.834,0.0982092229272307,0.668,0.149456998812068,0.956,0.448,"1","RP11-402J6.3"
0.834,0.966236148104118,0.668,1.54178752479748,0.985,0.691,"1","RPS7P1"
0.833,1.02407845477311,0.666,1.48458149003569,1,0.786,"1","RP11-175B9.3"
0.832,0.938454132049639,0.664,1.49804136434293,0.985,0.655,"1","RPL23AP2"
0.831,0.859797336685872,0.662,1.26340141005964,1,0.975,"1","RPL7P23"
0.831,0.936624659026826,0.662,1.48177827316897,0.985,0.864,"1","RPSAP54"
0.831,1.55905722003402,0.662,2.25153683711953,0.926,0.4,"1","MGST1"
0.831,0.695821234217338,0.662,1.28318045426222,1,0.811,"1","EEF1A1P4"
0.831,0.948205063084926,0.662,1.39394898866287,1,0.925,"1","RP11-425L10.1"
0.83,0.866834383754033,0.66,1.26509415487596,1,0.807,"1","AC007969.5"
0.829,0.853821151879124,0.658,1.29534662851657,1,0.793,"1","RPL21P39"
0.825,1.1045821516412,0.65,1.59992865728007,1,0.893,"1","ERH"
0.825,0.748801586199931,0.65,1.10667846498729,1,0.809,"1","H3F3BP1"
0.824,0.86445975502058,0.648,1.32487105896808,1,0.714,"1","RP11-349N19.2"
0.824,0.764635451708572,0.648,1.15826549728899,0.971,0.468,"1","RP11-343H5.4"
0.823,0.970518818962661,0.646,1.45057891409311,1,0.659,"1","RPL35P2"
0.822,0.951274502227637,0.644,1.38623563324785,1,0.875,"1","RPL21P28"
0.821,1.03575483300911,0.642,1.51904641897966,1,0.543,"1","NR6A1"
0.82,1.02933735889161,0.64,1.49318781534873,0.985,0.461,"1","RRM2"
0.82,1.01299053140287,0.64,1.74052210501421,0.926,0.441,"1","RP11-51O6.1"
0.819,0.373978715733489,0.638,0.563510758360549,0.941,0.43,"1","RPL7AP11"
0.818,0.851894578040547,0.636,1.2410197951762,1,0.805,"1","SUMO2P1"
0.818,0.967928066636611,0.636,1.39655223874233,1,0.975,"1","RP11-380M21.2"
0.818,0.368940474266745,0.636,0.541373851238226,1,0.991,"1","HNRNPA1L2"
0.817,1.10857493337777,0.634,1.85446670260945,0.838,0.214,"1","RP11-390K5.1"
0.816,0.784943109618863,0.632,1.13786585104866,1,0.975,"1","RPL21P75"
0.816,0.98243430272088,0.632,1.53174702192043,0.985,0.802,"1","RANP1"
0.816,0.893778242548015,0.632,1.37305515655024,1,0.793,"1","AC010468.1"
0.816,0.937530061459166,0.632,1.54323527651475,0.838,0.216,"1","TRIM71"
0.816,0.746690185915209,0.632,1.07971226743847,0.985,0.591,"1","FANCI"
0.815,0.83762467561764,0.63,1.2209776888169,1,0.805,"1","RP1-241P17.4"
0.815,0.944074328775178,0.63,1.39096572230464,0.985,0.652,"1","AC016708.2"
0.815,0.771652335985313,0.63,1.11887499947863,1,0.989,"1","RPS3AP6"
0.815,1.3741491534394,0.63,2.01428773516646,0.971,0.466,"1","CLSPN"
0.813,0.808139671947054,0.626,1.17455792197059,1,0.964,"1","HNRNPL"
0.813,0.815597662650048,0.626,1.26666888192479,1,0.739,"1","RPL14P1"
0.811,0.778944575005965,0.622,1.36212350477947,0.985,0.805,"1","RPSAP47"
0.811,0.751777359630055,0.622,1.08877775139679,1,0.975,"1","RPL21P119"
0.81,0.842141333377585,0.62,1.35582265505737,1,0.768,"1","TUBBP1"
0.81,0.831193148575957,0.62,1.19977964113282,1,0.959,"1","RPS26"
0.809,0.83466473747974,0.618,1.25757110556762,1,0.9,"1","RPS10P3"
0.809,0.851941917741718,0.618,1.23953291291872,1,0.948,"1","RPSAP58"
0.808,1.33822508908393,0.616,2.02291234261511,0.985,0.823,"1","GREB1"
0.807,0.760567111639695,0.614,1.09914612794177,1,0.782,"1","RP11-761N21.2"
0.806,0.861578485679138,0.612,1.25397967007632,1,0.798,"1","CTD-2287O16.1"
0.806,0.621990931865652,0.612,0.921396688648437,0.882,0.345,"1","BRIP1"
0.805,0.680021437391702,0.61,0.992962943905768,1,0.98,"1","RPS3AP26"
0.805,0.853564344968219,0.61,1.2350915309534,1,0.925,"1","AC004057.1"
0.803,0.322909679175798,0.606,0.466319529873475,1,0.998,"1","RPL18AP3"
0.803,0.830753028219531,0.606,1.20758412879135,1,0.991,"1","MTRNR2L8"
0.801,1.33331283143234,0.602,1.93406763311383,0.853,0.305,"1","HIST1H3B"
